"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2002","Stratum_1"," [count*km2/km2]",29546.4210468733,3115.93956853614,0.150942276916118
"1","2003","Stratum_1"," [count*km2/km2]",23226.1180643097,2640.99215023087,0.170279359252803
"1","2004","Stratum_1"," [count*km2/km2]",13826.086589671,1379.32067378711,0.146820612069046
"1","2005","Stratum_1"," [count*km2/km2]",12222.6110255312,1460.82997713756,0.176702161639525
"1","2006","Stratum_1"," [count*km2/km2]",7406.64242167569,1110.55671229107,0.222261663453556
"1","2007","Stratum_1"," [count*km2/km2]",17840.262914543,2093.9431067317,0.173092597028695
"1","2008","Stratum_1"," [count*km2/km2]",3167.99600957342,1156.86858472057,0.696801693524649
"1","2009","Stratum_1"," [count*km2/km2]",25517.1591014795,4187.5909823202,0.258767651926176
"1","2010","Stratum_1"," [count*km2/km2]",19550.5936461324,3116.67155040852,0.230620276460291
"1","2011","Stratum_1"," [count*km2/km2]",15934.8812103809,3142.28472152966,0.308329439772965
"1","2012","Stratum_1"," [count*km2/km2]",8665.53943432418,1864.99804141131,0.3144242393247
"1","2013","Stratum_1"," [count*km2/km2]",15674.2459770109,4388.32120663179,0.464447825419761
"1","2014","Stratum_1"," [count*km2/km2]",40258.8921637672,6441.09921858056,0.247876006627541
"1","2015","Stratum_1"," [count*km2/km2]",34716.5527370167,8041.02124828576,0.364614781499406
"1","2016","Stratum_1"," [count*km2/km2]",29888.7040644432,3645.45169341108,0.183635476011314
"1","2017","Stratum_1"," [count*km2/km2]",12824.6394768561,3500.41743685985,0.464292910426818
"1","2018","Stratum_1"," [count*km2/km2]",54996.1460075775,7882.88443435497,0.221263433783372
"1","2019","Stratum_1"," [count*km2/km2]",53739.4496218864,9113.28811096172,0.260463886573361
