"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2002","Stratum_1"," [count*km2/km2]",30457.9716700568,4144.54782673089,0.157934544532269
"1","2003","Stratum_1"," [count*km2/km2]",22521.5601705716,3040.33672507439,0.161746738907151
"1","2004","Stratum_1"," [count*km2/km2]",14020.3456458312,1791.43462149782,0.156424056727245
"1","2005","Stratum_1"," [count*km2/km2]",13845.4357147666,2127.81752662804,0.192034507064095
"1","2006","Stratum_1"," [count*km2/km2]",8417.76369429951,1690.22162210736,0.258608930833014
"1","2007","Stratum_1"," [count*km2/km2]",21857.955055318,3371.31217563245,0.19863736366521
"1","2008","Stratum_1"," [count*km2/km2]",6004.39237146225,2603.77411235776,0.589392207809633
"1","2009","Stratum_1"," [count*km2/km2]",47915.9337646533,11293.378443491,0.321068339799528
"1","2010","Stratum_1"," [count*km2/km2]",21838.6179343633,4028.46926856272,0.246266381747413
"1","2011","Stratum_1"," [count*km2/km2]",27248.2191914972,7753.88786972432,0.392490706447694
"1","2012","Stratum_1"," [count*km2/km2]",12161.0657000121,3377.33767304309,0.381019561832925
"1","2013","Stratum_1"," [count*km2/km2]",12817.8760188748,3268.93712440423,0.368843180902662
"1","2014","Stratum_1"," [count*km2/km2]",54898.0109182084,11488.0312760718,0.310539494888497
"1","2015","Stratum_1"," [count*km2/km2]",42449.5038032552,10126.1636342599,0.366450770450652
"1","2016","Stratum_1"," [count*km2/km2]",49110.7675852172,8982.16424055208,0.29051995108043
"1","2017","Stratum_1"," [count*km2/km2]",19988.3686212317,5065.70319595958,0.434528705328032
"1","2018","Stratum_1"," [count*km2/km2]",109700.145200715,23395.7931928119,0.382024953953413
"1","2019","Stratum_1"," [count*km2/km2]",105934.088212425,24877.1621079708,0.440129327806142
